"pop" "id" "k.value.run" "X1" "X2" "X3" "membership"
"461" "CL" "CL63" 2 0.000127 0.999873 NA 2
"462" "CL" "CL9" 2 0.99984 0.00016 NA 1
"463" "CPN" "CPN10" 2 0.999839 0.000161 NA 1
"464" "CPN" "CPN15" 2 0.999865 0.000135 NA 1
"465" "CPN" "CPN17" 2 0.999868 0.000132 NA 1
"466" "CPN" "CPN20" 2 0.99985 0.00015 NA 1
"467" "CPN" "CPN27" 2 0.999856 0.000144 NA 1
"468" "CPN" "CPN28" 2 0.999819 0.000181 NA 1
"469" "CPN" "CPN35" 2 0.999828 0.000172 NA 1
"470" "CPN" "CPN6" 2 0.99984 0.00016 NA 1
"471" "CPN" "CPN8" 2 0.999851 0.000149 NA 1
"472" "CPSE" "CPSE11" 2 0.999849 0.000151 NA 1
"473" "CPSE" "CPSE12" 2 0.999811 0.000189 NA 1
"474" "CPSE" "CPSE16" 2 0.999868 0.000132 NA 1
"475" "CPSE" "CPSE2" 2 0.999853 0.000147 NA 1
"476" "CPSE" "CPSE21" 2 0.999818 0.000182 NA 1
"477" "CPSE" "CPSE32" 2 0.999805 0.000195 NA 1
"478" "CPSE" "CPSE38" 2 0.999858 0.000142 NA 1
"479" "GC" "GC10" 2 0.999854 0.000146 NA 1
"480" "GC" "GC12" 2 0.999875 0.000125 NA 1
"481" "GC" "GC15" 2 0.99987 0.00013 NA 1
"482" "GC" "GC16" 2 0.99987 0.00013 NA 1
"483" "GC" "GC19" 2 0.999878 0.000122 NA 1
"484" "GC" "GC28" 2 0.999862 0.000138 NA 1
"485" "GC" "GC32" 2 0.999875 0.000125 NA 1
"486" "GC" "GC4" 2 0.999865 0.000135 NA 1
"487" "GC" "GC40" 2 0.999873 0.000127 NA 1
"488" "GC" "GC45" 2 0.999859 0.000141 NA 1
"489" "GC" "GC7" 2 0.999856 0.000144 NA 1
"490" "LD" "LD2" 2 0.999815 0.000185 NA 1
"491" "LN" "LN11" 2 0.999838 0.000162 NA 1
"492" "LN" "LN14" 2 0.999851 0.000149 NA 1
"493" "LN" "LN15" 2 0.999844 0.000156 NA 1
"494" "LN" "LN17" 2 0.999873 0.000127 NA 1
"495" "LN" "LN18" 2 0.999861 0.000139 NA 1
"496" "LN" "LN2" 2 0.999839 0.000161 NA 1
"497" "LN" "LN20" 2 0.999656 0.000344 NA 1
"498" "LN" "LN21" 2 0.999875 0.000125 NA 1
"499" "LN" "LN23" 2 0.999877 0.000123 NA 1
"500" "LN" "LN24" 2 0.999882 0.000118 NA 1
"501" "LN" "LN29" 2 0.158466 0.841534 NA 2
"502" "LN" "LN30" 2 0.00039 0.99961 NA 2
"503" "LN" "LN5" 2 0.999851 0.000149 NA 1
"504" "LN" "LN8" 2 0.999822 0.000178 NA 1
"505" "MH" "MH11" 2 0.999773 0.000227 NA 1
"506" "MH" "MH20" 2 0.000189 0.999811 NA 2
"507" "MH" "MH26" 2 0.999844 0.000156 NA 1
"508" "MH" "MH28" 2 0.00019 0.99981 NA 2
"509" "MH" "MH31" 2 0.00024 0.99976 NA 2
"510" "MH" "MH7" 2 0.000174 0.999826 NA 2
"511" "MH" "MH9" 2 0.999874 0.000126 NA 1
"512" "MM" "MM1" 2 0.000204 0.999796 NA 2
